"architecture","n_territories","replicate","strategy","n_dims","dims_used","ARI"
"3_territories",3,1,"baseline_all",8,"1;2;3;4;5;6;7;8",0.4762
"3_territories",3,1,"morans_I_only",1,"1",0.9117
"3_territories",3,1,"gearys_C_only",8,"1;2;3;4;5;6;7;8",0.4762
"3_territories",3,1,"entropy_only",1,"1",0.9117
"3_territories",3,1,"intersection",1,"1",0.9117
"3_territories",3,1,"union",8,"1;2;3;4;5;6;7;8",0.4762
"3_territories",3,1,"majority_vote",1,"1",0.9117
"3_territories",3,2,"baseline_all",8,"1;2;3;4;5;6;7;8",0.8604
"3_territories",3,2,"morans_I_only",2,"1;2",0.8633
"3_territories",3,2,"gearys_C_only",2,"1;2",0.8633
"3_territories",3,2,"entropy_only",8,"1;2;3;4;5;6;7;8",0.8604
"3_territories",3,2,"intersection",2,"1;2",0.8633
"3_territories",3,2,"union",8,"1;2;3;4;5;6;7;8",0.8604
"3_territories",3,2,"majority_vote",2,"1;2",0.8633
"3_territories",3,3,"baseline_all",8,"1;2;3;4;5;6;7;8",0.7469
"3_territories",3,3,"morans_I_only",2,"1;2",0.7287
"3_territories",3,3,"gearys_C_only",2,"1;2",0.7287
"3_territories",3,3,"entropy_only",8,"1;2;3;4;5;6;7;8",0.7469
"3_territories",3,3,"intersection",2,"1;2",0.7287
"3_territories",3,3,"union",8,"1;2;3;4;5;6;7;8",0.7469
"3_territories",3,3,"majority_vote",2,"1;2",0.7287
"3_territories",3,4,"baseline_all",8,"1;2;3;4;5;6;7;8",0.4023
"3_territories",3,4,"morans_I_only",2,"1;2",0.9606
"3_territories",3,4,"gearys_C_only",2,"1;2",0.9606
"3_territories",3,4,"entropy_only",1,"1",0.9194
"3_territories",3,4,"intersection",1,"1",0.9194
"3_territories",3,4,"union",2,"1;2",0.9606
"3_territories",3,4,"majority_vote",2,"1;2",0.9606
"3_territories",3,5,"baseline_all",8,"1;2;3;4;5;6;7;8",0.8062
"3_territories",3,5,"morans_I_only",2,"1;2",0.7967
"3_territories",3,5,"gearys_C_only",2,"1;2",0.7967
"3_territories",3,5,"entropy_only",1,"1",0.5998
"3_territories",3,5,"intersection",1,"1",0.5998
"3_territories",3,5,"union",2,"1;2",0.7967
"3_territories",3,5,"majority_vote",2,"1;2",0.7967
"5_territories",5,1,"baseline_all",10,"1;2;3;4;5;6;7;8;9;10",0.5193
"5_territories",5,1,"morans_I_only",2,"1;2",0.5436
"5_territories",5,1,"gearys_C_only",2,"1;2",0.5436
"5_territories",5,1,"entropy_only",1,"1",0.4513
"5_territories",5,1,"intersection",1,"1",0.4513
"5_territories",5,1,"union",2,"1;2",0.5436
"5_territories",5,1,"majority_vote",2,"1;2",0.5436
"5_territories",5,2,"baseline_all",10,"1;2;3;4;5;6;7;8;9;10",0.4834
"5_territories",5,2,"morans_I_only",2,"1;2",0.5288
"5_territories",5,2,"gearys_C_only",2,"1;2",0.5288
"5_territories",5,2,"entropy_only",1,"1",0.4399
"5_territories",5,2,"intersection",1,"1",0.4445
"5_territories",5,2,"union",2,"1;2",0.5288
"5_territories",5,2,"majority_vote",2,"1;2",0.5288
"5_territories",5,3,"baseline_all",10,"1;2;3;4;5;6;7;8;9;10",0.7046
"5_territories",5,3,"morans_I_only",10,"1;2;3;4;5;6;7;8;9;10",0.7022
"5_territories",5,3,"gearys_C_only",10,"1;2;3;4;5;6;7;8;9;10",0.7046
"5_territories",5,3,"entropy_only",10,"1;2;3;4;5;6;7;8;9;10",0.7103
"5_territories",5,3,"intersection",10,"1;2;3;4;5;6;7;8;9;10",0.7101
"5_territories",5,3,"union",10,"1;2;3;4;5;6;7;8;9;10",0.709
"5_territories",5,3,"majority_vote",10,"1;2;3;4;5;6;7;8;9;10",0.4847
"5_territories",5,4,"baseline_all",10,"1;2;3;4;5;6;7;8;9;10",0.5837
"5_territories",5,4,"morans_I_only",3,"1;2;3",0.5913
"5_territories",5,4,"gearys_C_only",3,"1;2;3",0.5913
"5_territories",5,4,"entropy_only",10,"1;2;3;4;5;6;7;8;9;10",0.5831
"5_territories",5,4,"intersection",3,"1;2;3",0.5913
"5_territories",5,4,"union",10,"1;2;3;4;5;6;7;8;9;10",0.586
"5_territories",5,4,"majority_vote",3,"1;2;3",0.5913
"5_territories",5,5,"baseline_all",10,"1;2;3;4;5;6;7;8;9;10",0.8508
"5_territories",5,5,"morans_I_only",10,"1;2;3;4;5;6;7;8;9;10",0.8508
"5_territories",5,5,"gearys_C_only",10,"1;2;3;4;5;6;7;8;9;10",0.8508
"5_territories",5,5,"entropy_only",10,"1;2;3;4;5;6;7;8;9;10",0.8508
"5_territories",5,5,"intersection",10,"1;2;3;4;5;6;7;8;9;10",0.8508
"5_territories",5,5,"union",10,"1;2;3;4;5;6;7;8;9;10",0.8481
"5_territories",5,5,"majority_vote",10,"1;2;3;4;5;6;7;8;9;10",0.8508
"8_territories",8,1,"baseline_all",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5352
"8_territories",8,1,"morans_I_only",2,"1;2",0.5566
"8_territories",8,1,"gearys_C_only",2,"1;2",0.5485
"8_territories",8,1,"entropy_only",2,"1;2",0.5484
"8_territories",8,1,"intersection",2,"1;2",0.5484
"8_territories",8,1,"union",2,"1;2",0.5566
"8_territories",8,1,"majority_vote",2,"1;2",0.5485
"8_territories",8,2,"baseline_all",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6712
"8_territories",8,2,"morans_I_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6717
"8_territories",8,2,"gearys_C_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6642
"8_territories",8,2,"entropy_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6784
"8_territories",8,2,"intersection",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6733
"8_territories",8,2,"union",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6701
"8_territories",8,2,"majority_vote",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6682
"8_territories",8,3,"baseline_all",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.49
"8_territories",8,3,"morans_I_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.4876
"8_territories",8,3,"gearys_C_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.4919
"8_territories",8,3,"entropy_only",1,"1",0.4266
"8_territories",8,3,"intersection",1,"1",0.4265
"8_territories",8,3,"union",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.4907
"8_territories",8,3,"majority_vote",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.4899
"8_territories",8,4,"baseline_all",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5783
"8_territories",8,4,"morans_I_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6608
"8_territories",8,4,"gearys_C_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5788
"8_territories",8,4,"entropy_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5791
"8_territories",8,4,"intersection",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5803
"8_territories",8,4,"union",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.4919
"8_territories",8,4,"majority_vote",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.6511
"8_territories",8,5,"baseline_all",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.4803
"8_territories",8,5,"morans_I_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5766
"8_territories",8,5,"gearys_C_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5842
"8_territories",8,5,"entropy_only",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5771
"8_territories",8,5,"intersection",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5773
"8_territories",8,5,"union",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5756
"8_territories",8,5,"majority_vote",13,"1;2;3;4;5;6;7;8;9;10;11;12;13",0.5682
