"dimension","score","dataset","metric","selected"
1,0.925969373819434,"builtin_1052","morans_I",TRUE
2,0.920737478534031,"builtin_1052","morans_I",TRUE
3,0.847192891682997,"builtin_1052","morans_I",TRUE
5,0.210508702772085,"builtin_1052","morans_I",FALSE
7,0.165877299448082,"builtin_1052","morans_I",FALSE
4,0.0953628780120158,"builtin_1052","morans_I",FALSE
6,0.0616294678553984,"builtin_1052","morans_I",FALSE
8,0.0536413677833107,"builtin_1052","morans_I",FALSE
12,0.0498591699483641,"builtin_1052","morans_I",FALSE
10,0.0438898468127898,"builtin_1052","morans_I",FALSE
9,0.0313805187456122,"builtin_1052","morans_I",FALSE
14,0.00103083391437748,"builtin_1052","morans_I",FALSE
15,-0.00746747118685855,"builtin_1052","morans_I",FALSE
11,-0.0101749353388814,"builtin_1052","morans_I",FALSE
13,-0.0213915141008551,"builtin_1052","morans_I",FALSE
1,1.92908220229036,"builtin_1052","gearys_C",TRUE
2,1.92112192367709,"builtin_1052","gearys_C",TRUE
3,1.84755922598452,"builtin_1052","gearys_C",TRUE
5,1.1760050745658,"builtin_1052","gearys_C",FALSE
7,1.15592007653622,"builtin_1052","gearys_C",FALSE
4,1.09717066294179,"builtin_1052","gearys_C",FALSE
8,1.06101904413756,"builtin_1052","gearys_C",FALSE
9,1.04505207108516,"builtin_1052","gearys_C",FALSE
10,1.0443473695771,"builtin_1052","gearys_C",FALSE
12,1.04097493856331,"builtin_1052","gearys_C",FALSE
6,1.04018510744691,"builtin_1052","gearys_C",FALSE
14,0.999682191047435,"builtin_1052","gearys_C",FALSE
15,0.990871151240258,"builtin_1052","gearys_C",FALSE
11,0.963820660356435,"builtin_1052","gearys_C",FALSE
13,0.952887017315078,"builtin_1052","gearys_C",FALSE
4,-1.29072355182908,"builtin_1052","spatial_entropy",TRUE
5,-1.69604092502362,"builtin_1052","spatial_entropy",TRUE
13,-1.785503332642,"builtin_1052","spatial_entropy",TRUE
9,-1.79992071693851,"builtin_1052","spatial_entropy",TRUE
10,-1.82672381602774,"builtin_1052","spatial_entropy",TRUE
11,-1.91345887622082,"builtin_1052","spatial_entropy",TRUE
6,-1.95617364717917,"builtin_1052","spatial_entropy",TRUE
12,-2.06146276493919,"builtin_1052","spatial_entropy",TRUE
7,-2.17093552481514,"builtin_1052","spatial_entropy",TRUE
8,-2.18572511945202,"builtin_1052","spatial_entropy",TRUE
14,-2.20400284450761,"builtin_1052","spatial_entropy",TRUE
15,-2.20594145059224,"builtin_1052","spatial_entropy",TRUE
2,-2.37985128113594,"builtin_1052","spatial_entropy",TRUE
1,-2.39043670159004,"builtin_1052","spatial_entropy",TRUE
3,-2.47473427434417,"builtin_1052","spatial_entropy",TRUE
